Household_number,Date_of_occupancy,Ownership,Mortgage_Or_Rent,Dwelling_type,House_value_in_K,House_hold_size,Household_income_in_K,House_size,No_of_vehicles,ZIP,LAT,LNG
H6,2018-09-02,false,2471.604211419724,Apartments,735.6728408218919,3,129.20583703764078,1167.5196167190131,4,19104,39.95852,-75.198857
H11,2018-12-23,false,2468.5178062598343,Apartments,268.5681153381511,2,163.22844514616816,660.8301421475893,1,11103,40.762574,-73.913447
H19,2017-05-25,false,2473.6171040325385,Single Family,692.1677157898807,5,167.47501613848235,2212.149183599019,2,07620,40.968725,-73.916999
H21,1998-04-13,false,2485.917089520325,Single Family,414.7244941993839,4,62.706953984172415,1702.067906129348,2,19106,39.948629,-75.142789
H23,2016-09-22,false,2463.6250198127645,Single Family,532.8846600205302,6,116.25308413679697,2394.794068357861,1,06002,41.84493,-72.740951
H25,1989-04-07,true,2458.990214093375,Apartments,198.60475132017675,3,67.37574904319719,1027.1130546823995,3,19103,39.952896,-75.174298
H32,2005-07-24,false,2495.7787561830332,Single Family,417.4208381230063,5,121.47013594106407,1899.2069234672508,2,06467,41.567845,-72.899757
H37,1995-06-15,false,2463.608885144488,Single Family,686.6940399522696,4,166.86858523802178,1652.0686999261334,3,02128,42.361129,-71.006975
H45,1991-04-02,false,2475.4413719836493,Single Family,275.9862902865198,6,76.91305419646834,2718.94406976132,1,11213,40.671078,-73.936336
H51,1999-12-04,false,2463.455772970442,Apartments,472.03611994171763,2,157.67193313901646,508.5873261464234,2,19102,39.952783,-75.165586
H59,1996-10-31,false,2463.6889461325036,Single Family,731.881690281837,6,103.32119154191118,2324.08852452745,1,07087,40.767383,-74.032328
H62,2008-06-18,false,2475.561158130777,Apartments,433.777793321655,4,46.48173137774115,1396.5738838552854,0,06001,41.787159,-72.852046
H69,2001-03-08,false,2463.452712002455,Single Family,313.7394523317893,5,38.997885406778245,1766.9981277406982,1,02126,42.274227,-71.097423
H77,1992-11-08,false,2473.4910085641636,Apartments,227.55658066466071,2,45.72407567555881,626.5253812749528,3,02127,42.334992,-71.039093
