Cust_ID,ZIP,expected_duration,actual_duration,Job_ID,Technician_ID,Advisor_ID,Date_of_job,Time_of_job,Outlet_code,Channel_code
C_1,06467,9,14,5,121,44,2017-01-06,14:20:28,4,103
C_1,06467,12,14,18,69,10,2016-12-27,11:34:14,4,103
C_1,06467,12,14,18,69,10,2017-05-11,11:34:14,4,103
C_1,06467,17,19,6,60,35,2016-11-11,11:27:59,4,103
C_10013,06479,5,12,12,87,47,2015-11-20,10:26:29,11,106
C_10013,06479,5,12,12,87,47,2015-12-17,10:26:29,11,106
C_10013,06479,5,12,12,87,47,2016-04-11,10:26:29,11,106
C_10013,06479,13,12,4,52,45,2015-12-15,09:51:24,11,106
C_10013,06479,13,12,4,52,45,2015-12-30,09:51:24,11,106
C_10040,11213,11,16,14,164,7,2018-08-03,11:54:53,3,106
C_10040,11213,11,16,14,164,7,2018-08-12,11:54:53,3,106
C_10040,11213,11,16,14,164,7,2019-02-07,11:54:53,3,106
C_10040,11213,12,16,7,143,29,2019-01-20,11:44:19,3,106
C_10040,11213,12,16,7,143,29,2019-02-10,11:44:19,3,106
C_10041,07620,10,11,16,177,13,2017-12-14,09:22:06,13,105
C_10041,07620,10,11,16,177,13,2017-12-22,09:22:06,13,105
C_10041,07620,12,14,1,144,27,2017-10-04,12:11:42,13,105
C_10041,07620,13,11,11,103,23,2018-01-11,16:26:21,13,105
C_10043,11214,5,6,5,122,44,2015-09-22,09:12:00,24,102
C_10043,11214,9,13,3,84,5,2015-11-12,16:48:56,24,102
C_10043,11214,9,13,3,84,5,2015-11-13,16:48:56,24,102
C_10043,11214,9,13,3,84,5,2016-06-25,16:48:56,24,102
C_10043,11214,10,13,15,4,43,2016-02-11,10:04:51,24,102
C_10050,06001,7,15,2,44,26,2017-01-26,13:56:27,19,105
C_10050,06001,10,13,10,39,29,2016-07-30,09:39:23,19,105
C_10050,06001,13,15,15,19,42,2017-01-30,14:36:49,19,105
C_10050,06001,13,15,15,19,42,2017-04-28,14:36:49,19,105
C_10053,19106,8,17,12,164,23,2015-08-26,13:48:46,24,104
C_10053,19106,8,17,12,164,23,2016-04-02,13:48:46,24,104
C_10053,19106,8,17,12,164,23,2016-04-16,13:48:46,24,104
C_10053,19106,8,17,15,168,44,2016-02-23,14:51:13,24,104
C_10053,19106,8,17,15,168,44,2016-06-25,14:51:13,24,104
C_10100,07608,5,9,18,46,7,2019-01-09,13:09:50,24,106
C_10100,07608,5,9,18,46,7,2019-07-20,13:09:50,24,106
C_10100,07608,9,14,14,51,22,2018-10-15,11:18:51,24,106
C_10100,07608,9,16,5,191,23,2019-07-09,16:33:05,24,106
C_10100,07608,14,16,15,125,34,2019-05-13,16:27:19,24,106
C_10100,07608,14,16,15,125,34,2019-07-12,16:27:19,24,106
C_10100,07608,14,16,15,125,34,2019-07-22,16:27:19,24,106
C_10100,07608,14,16,15,125,34,2019-10-07,16:27:19,24,106
C_10131,06001,6,15,6,196,28,2015-12-27,10:23:36,4,102
C_10131,06001,7,12,3,56,27,2015-06-24,16:33:34,4,102
C_10131,06001,7,12,3,56,27,2015-12-23,16:33:34,4,102
C_10131,06001,7,12,19,71,9,2015-10-03,11:38:33,4,102
C_10131,06001,7,12,19,71,9,2015-11-16,11:38:33,4,102
C_10131,06001,11,15,14,56,23,2015-04-10,16:32:36,4,102
C_10133,02128,8,10,9,9,14,2016-11-22,09:33:38,6,104
C_10133,02128,8,10,9,9,14,2017-04-18,09:33:38,6,104
C_10133,02128,11,10,7,65,38,2016-10-13,16:01:51,6,104
C_10133,02128,11,10,7,65,38,2016-10-27,16:01:51,6,104
C_10133,02128,11,10,7,65,38,2016-12-15,16:01:51,6,104
C_10133,02128,11,10,7,65,38,2017-03-21,16:01:51,6,104
C_10133,02128,13,12,6,55,26,2016-11-26,13:38:11,6,104
C_10133,02128,13,12,6,55,26,2016-12-16,13:38:11,6,104
C_10133,02128,13,15,12,164,35,2016-05-13,14:56:02,6,104
C_10150,06467,6,15,7,12,40,2018-11-18,16:10:59,5,104
C_10150,06467,6,15,7,12,40,2018-12-06,16:10:59,5,104
C_10150,06467,11,15,16,128,24,2018-06-20,14:48:49,5,104
C_10150,06467,11,15,16,128,24,2019-02-20,14:48:49,5,104
C_1016,19106,9,14,4,108,29,2017-05-04,14:56:02,23,102
C_1016,19106,10,14,13,3,42,2017-06-22,15:35:54,23,102
C_1016,19106,10,14,13,3,42,2017-08-25,15:35:54,23,102
C_10187,19106,7,16,7,23,21,2017-07-30,16:04:15,2,105
C_10187,19106,7,16,7,23,21,2017-08-12,16:04:15,2,105
C_10187,19106,10,5,9,63,28,2017-09-05,12:40:03,2,105
C_10187,19106,12,16,3,166,27,2016-12-02,10:40:54,2,105
C_10187,19106,15,16,4,44,9,2017-08-20,12:06:25,2,105
C_10187,19106,15,16,4,44,9,2017-11-13,12:06:25,2,105
C_10187,19106,15,16,4,44,9,2017-11-25,12:06:25,2,105
C_10228,11213,8,11,8,6,3,2015-10-10,12:57:50,17,106
C_10228,11213,8,11,8,6,3,2016-02-20,12:57:50,17,106
C_10228,11213,8,11,8,6,3,2016-06-28,12:57:50,17,106
C_10228,11213,9,13,13,157,15,2015-08-22,09:54:46,17,106
C_10228,11213,10,11,17,65,39,2016-06-01,09:26:54,17,106
C_10228,11213,11,19,15,110,44,2016-08-07,16:25:53,17,106
C_10228,11213,11,19,15,110,44,2016-08-10,16:25:53,17,106
C_10241,06467,6,16,5,63,16,2018-08-20,15:46:00,20,104
C_10241,06467,6,16,5,63,16,2018-12-18,15:46:00,20,104
C_10241,06467,7,3,15,173,4,2019-05-14,12:16:59,20,104
C_10241,06467,7,3,15,173,4,2019-05-27,12:16:59,20,104
C_10241,06467,12,3,14,52,37,2018-09-14,10:12:33,20,104
C_10241,06467,12,3,14,52,37,2018-10-02,10:12:33,20,104
C_10241,06467,12,3,14,52,37,2018-11-22,10:12:33,20,104
C_10241,06467,12,3,14,52,37,2019-02-03,10:12:33,20,104
C_10261,07093,9,15,9,37,7,2017-11-26,13:37:14,15,106
C_10261,07093,9,15,9,37,7,2017-12-12,13:37:14,15,106
C_10261,07093,9,15,9,37,7,2018-05-26,13:37:14,15,106
C_10261,07093,14,13,12,59,34,2018-01-03,15:28:13,15,106
C_10261,07093,14,13,12,59,34,2018-02-01,15:28:13,15,106
C_10261,07093,15,15,18,88,38,2017-11-02,15:44:05,15,106
C_10266,02126,7,11,10,19,28,2017-03-26,11:25:35,13,102
C_10266,02126,7,11,10,19,28,2017-10-15,11:25:35,13,102
C_10266,02126,7,11,10,19,28,2017-11-04,11:25:35,13,102
C_10266,02126,7,11,10,19,28,2017-11-24,11:25:35,13,102
