Cust_ID,expected_duration,actual_duration,Date_of_job,Time_of_job,time_rating,LAT,LNG,Job_rating,Cleanliness_rating,Work_Quality_rating,Value_Delivered_rating,Facility_rating
C_1,9,14,2017-01-06,14:20:28,1.0,39.95852,-75.198857,1.0,1.0,5.0,3.0,3.0
C_1,12,14,2016-12-27,11:34:14,4.0,40.762574,-73.913447,4.0,1.0,5.0,2.0,2.0
C_1,12,14,2017-05-11,11:34:14,4.0,40.968725,-73.916999,4.0,3.0,2.0,3.0,1.0
C_1,17,19,2016-11-11,11:27:59,4.0,39.948629,-75.142789,3.0,1.0,5.0,3.0,4.0
C_10013,5,12,2015-11-20,10:26:29,5.0,41.84493,-72.740951,3.0,2.0,5.0,3.0,2.0
C_10013,5,12,2015-12-17,10:26:29,5.0,39.952896,-75.174298,1.0,2.0,5.0,2.0,4.0
C_10013,5,12,2016-04-11,10:26:29,5.0,41.567845,-72.899757,4.0,1.0,5.0,1.0,1.0
C_10013,13,12,2015-12-15,09:51:24,1.0,42.361129,-71.006975,3.0,3.0,4.0,3.0,3.0
C_10013,13,12,2015-12-30,09:51:24,1.0,40.671078,-73.936336,2.0,2.0,5.0,3.0,4.0
C_10040,11,16,2018-08-03,11:54:53,1.0,39.952783,-75.165586,4.0,5.0,3.0,1.0,1.0
C_10040,11,16,2018-08-12,11:54:53,1.0,40.767383,-74.032328,3.0,2.0,4.0,1.0,4.0
C_10040,11,16,2019-02-07,11:54:53,1.0,41.787159,-72.852046,3.0,3.0,5.0,1.0,4.0
C_10040,12,16,2019-01-20,11:44:19,2.0,42.274227,-71.097423,5.0,5.0,5.0,2.0,3.0
C_10040,12,16,2019-02-10,11:44:19,2.0,42.334992,-71.039093,2.0,2.0,5.0,3.0,4.0
C_10041,10,11,2017-12-14,09:22:06,5.0,42.379657,-71.061487,4.0,2.0,5.0,2.0,2.0
C_10041,10,11,2017-12-22,09:22:06,5.0,40.599148,-73.99609,1.0,4.0,1.0,2.0,1.0
C_10041,12,14,2017-10-04,12:11:42,4.0,41.57477,-72.9119,4.0,3.0,4.0,1.0,3.0
C_10041,13,11,2018-01-11,16:26:21,2.0,40.744634,-73.920201,3.0,3.0,4.0,5.0,1.0
C_10043,5,6,2015-09-22,09:12:00,5.0,40.852997,-74.060355,5.0,2.0,3.0,1.0,3.0
C_10043,9,13,2015-11-12,16:48:56,2.0,40.788079,-74.011357,3.0,3.0,1.0,5.0,5.0
C_10043,9,13,2015-11-13,16:48:56,2.0,40.767383,-74.032328,3.0,2.0,5.0,5.0,1.0
C_10043,9,13,2016-06-25,16:48:56,2.0,40.671078,-73.936336,4.0,3.0,5.0,3.0,4.0
C_10043,10,13,2016-02-11,10:04:51,3.0,41.567845,-72.899757,4.0,1.0,2.0,2.0,1.0
C_10050,7,15,2017-01-26,13:56:27,4.0,40.968725,-73.916999,1.0,4.0,2.0,2.0,2.0
C_10050,10,13,2016-07-30,09:39:23,3.0,39.948629,-75.142789,2.0,1.0,5.0,2.0,3.0
C_10050,13,15,2017-01-30,14:36:49,4.0,40.788079,-74.011357,1.0,3.0,2.0,2.0,2.0
C_10050,13,15,2017-04-28,14:36:49,4.0,40.788079,-74.011357,4.0,2.0,1.0,5.0,5.0
C_10053,8,17,2015-08-26,13:48:46,3.0,40.788079,-74.011357,5.0,3.0,4.0,1.0,4.0
C_10053,8,17,2016-04-02,13:48:46,3.0,39.95852,-75.198857,4.0,3.0,5.0,5.0,2.0
C_10053,8,17,2016-04-16,13:48:46,3.0,39.952896,-75.174298,3.0,4.0,5.0,3.0,3.0
C_10053,8,17,2016-02-23,14:51:13,3.0,40.671078,-73.936336,3.0,3.0,3.0,5.0,1.0
C_10053,8,17,2016-06-25,14:51:13,3.0,42.274227,-71.097423,3.0,2.0,3.0,2.0,1.0
C_10100,5,9,2019-01-09,13:09:50,2.0,40.762574,-73.913447,4.0,2.0,5.0,3.0,1.0
C_10100,5,9,2019-07-20,13:09:50,2.0,40.671078,-73.936336,1.0,3.0,2.0,2.0,1.0
C_10100,9,14,2018-10-15,11:18:51,1.0,41.787159,-72.852046,5.0,1.0,3.0,2.0,2.0
C_10100,9,16,2019-07-09,16:33:05,5.0,40.788079,-74.011357,4.0,4.0,3.0,2.0,2.0
C_10100,14,16,2019-05-13,16:27:19,4.0,40.767383,-74.032328,3.0,3.0,2.0,5.0,1.0
C_10100,14,16,2019-07-12,16:27:19,4.0,40.767383,-74.032328,1.0,3.0,5.0,1.0,4.0
C_10100,14,16,2019-07-22,16:27:19,4.0,40.852997,-74.060355,4.0,4.0,4.0,2.0,3.0
C_10100,14,16,2019-10-07,16:27:19,4.0,40.968725,-73.916999,3.0,3.0,3.0,1.0,5.0
C_10131,6,15,2015-12-27,10:23:36,3.0,39.952896,-75.174298,2.0,3.0,2.0,2.0,2.0
C_10131,7,12,2015-06-24,16:33:34,1.0,40.968725,-73.916999,5.0,4.0,5.0,1.0,3.0
C_10131,7,12,2015-12-23,16:33:34,1.0,40.744634,-73.920201,5.0,2.0,2.0,1.0,2.0
C_10131,7,12,2015-10-03,11:38:33,1.0,41.567845,-72.899757,5.0,2.0,4.0,5.0,3.0
C_10131,7,12,2015-11-16,11:38:33,1.0,40.671078,-73.936336,2.0,5.0,4.0,3.0,3.0
C_10131,11,15,2015-04-10,16:32:36,2.0,39.948629,-75.142789,4.0,2.0,4.0,1.0,3.0
C_10133,8,10,2016-11-22,09:33:38,4.0,41.787159,-72.852046,4.0,5.0,5.0,4.0,4.0
C_10133,8,10,2017-04-18,09:33:38,4.0,40.744634,-73.920201,1.0,1.0,4.0,3.0,3.0
C_10133,11,10,2016-10-13,16:01:51,1.0,41.787159,-72.852046,1.0,4.0,4.0,1.0,4.0
C_10133,11,10,2016-10-27,16:01:51,1.0,42.361129,-71.006975,1.0,1.0,5.0,3.0,3.0
C_10133,11,10,2016-12-15,16:01:51,1.0,40.671078,-73.936336,2.0,3.0,4.0,3.0,1.0
C_10133,11,10,2017-03-21,16:01:51,1.0,40.968725,-73.916999,5.0,5.0,3.0,2.0,1.0
C_10133,13,12,2016-11-26,13:38:11,1.0,40.762574,-73.913447,1.0,2.0,4.0,1.0,4.0
C_10133,13,12,2016-12-16,13:38:11,1.0,41.84493,-72.740951,2.0,4.0,4.0,1.0,4.0
C_10133,13,15,2016-05-13,14:56:02,4.0,40.968725,-73.916999,3.0,3.0,2.0,1.0,4.0
C_10150,6,15,2018-11-18,16:10:59,3.0,40.671078,-73.936336,4.0,2.0,4.0,1.0,3.0
C_10150,6,15,2018-12-06,16:10:59,3.0,42.334992,-71.039093,4.0,2.0,3.0,5.0,4.0
C_10150,11,15,2018-06-20,14:48:49,2.0,42.334992,-71.039093,4.0,3.0,5.0,1.0,2.0
C_10150,11,15,2019-02-20,14:48:49,2.0,40.671078,-73.936336,1.0,4.0,5.0,2.0,3.0
C_1016,9,14,2017-05-04,14:56:02,1.0,40.671078,-73.936336,5.0,1.0,4.0,4.0,3.0
C_1016,10,14,2017-06-22,15:35:54,2.0,40.788079,-74.011357,3.0,2.0,3.0,5.0,3.0
C_1016,10,14,2017-08-25,15:35:54,2.0,41.57477,-72.9119,1.0,5.0,5.0,2.0,4.0
C_10187,7,16,2017-07-30,16:04:15,3.0,41.787159,-72.852046,5.0,2.0,2.0,5.0,3.0
C_10187,7,16,2017-08-12,16:04:15,3.0,42.361129,-71.006975,5.0,1.0,5.0,5.0,1.0
C_10187,10,5,2017-09-05,12:40:03,5.0,42.334992,-71.039093,4.0,1.0,4.0,4.0,3.0
C_10187,12,16,2016-12-02,10:40:54,2.0,40.762574,-73.913447,3.0,3.0,4.0,5.0,2.0
C_10187,15,16,2017-08-20,12:06:25,5.0,40.852997,-74.060355,3.0,2.0,2.0,1.0,1.0
C_10187,15,16,2017-11-13,12:06:25,5.0,41.57477,-72.9119,2.0,2.0,4.0,1.0,5.0
C_10187,15,16,2017-11-25,12:06:25,5.0,39.948629,-75.142789,4.0,1.0,1.0,2.0,1.0
C_10228,8,11,2015-10-10,12:57:50,3.0,42.361129,-71.006975,5.0,5.0,3.0,2.0,2.0
C_10228,8,11,2016-02-20,12:57:50,3.0,39.95852,-75.198857,5.0,4.0,5.0,3.0,2.0
C_10228,8,11,2016-06-28,12:57:50,3.0,39.952896,-75.174298,3.0,3.0,2.0,1.0,1.0
